filename, TwoWheelers, ambulance, auto-rikshaw, bus, car, firetruck, police vehicle
129_jpg.rf.84859d4fc5818dc50d1f96b88b7efc36.jpg, 0, 0, 0, 0, 0, 1, 0
new-delhi-india-june-17-260nw-1758724742_jpg.rf.8485da3a485a9b9b614ff087e7512165.jpg, 0, 1, 0, 0, 0, 0, 0
ambulance-395-_jpg.rf.84890f639c23d72eba234cd01e1397c6.jpg, 0, 0, 0, 0, 0, 0, 0
13_jpg.rf.8491319430ac3431e84d5c33468b30ac.jpg, 0, 0, 0, 0, 0, 0, 0
ambulance-190-_jpg.rf.8499adab18f6dc139f642a2bf317fb86.jpg, 0, 0, 0, 0, 0, 0, 0
1_jpg.rf.84af05487a20e4fbcdb54682e9dfd8f0.jpg, 0, 0, 0, 0, 0, 0, 1
2_jpg.rf.84c050771d8c49eacfca53f82b5cf55c.jpg, 0, 0, 0, 0, 0, 0, 0
116_jpg.rf.84c3374e50c9a314fdc839838ce00109.jpg, 0, 0, 0, 0, 0, 1, 0
103_jpg.rf.84c84efd2041a6c4a70caa9391e57487.jpg, 0, 0, 0, 0, 0, 1, 0
7_jpg.rf.84cfca30def8655ecbace0bd15c5f927.jpg, 0, 0, 0, 0, 0, 1, 0
191_jpg.rf.84d8a54185bb89174669808815c65ca8.jpg, 0, 0, 0, 0, 0, 0, 1
ambulance-229-_jpg.rf.853a7d808029412b897dea38b4299d51.jpg, 0, 0, 0, 0, 0, 0, 0
21_jpg.rf.84d98d05710a682c4e9a4d2314dadc67.jpg, 0, 1, 0, 0, 0, 0, 0
ambulance-424-_jpg.rf.84d0252a3a89c03448a2d74bc63e9fc0.jpg, 0, 1, 0, 0, 0, 0, 0
10_jpg.rf.84cb735888dde30dca669d772c6e64fd.jpg, 0, 0, 0, 0, 0, 1, 0
day3_new_mp4-5_jpg.rf.84cc173759681f7896898860e7411583.jpg, 1, 0, 0, 0, 0, 0, 0
27_jpg.rf.84fd06d5403a11d040977d85b0ca5abe.jpg, 0, 0, 0, 0, 0, 1, 0
ambulance-153-_jpg.rf.8511d041dc7d02552efa4b31a7210fa0.jpg, 0, 0, 0, 0, 0, 0, 0
ambulance-399-_jpg.rf.8514855d307d3451826c094378d9f2c7.jpg, 0, 1, 0, 0, 0, 0, 0
200_jpg.rf.85460be639e1c3fe4c2209139413f75f.jpg, 0, 1, 0, 0, 0, 0, 0
2_jpg.rf.85289cd6dba8b0f4128e01f078925ff4.jpg, 0, 0, 0, 0, 0, 0, 0
